Time:                   Temperature(C):         Attitude(m):            
2014:01:14:10:04:11     -114,12483              000205,88723            
2014:01:14:10:04:11     -112,15595              000694,78595            
2014:01:14:10:04:11     -111,64801              001765,30096            
2014:01:14:10:04:12     -111,13241              001990,93014            
2014:01:14:10:04:12     -110,24864              003114,80180            
2014:01:14:10:04:12     -109,96556              003354,20231            
2014:01:14:10:04:12     -107,41778              003438,21174            
2014:01:14:10:04:13     -104,75765              003984,88296            
2014:01:14:10:04:13     -101,49395              004181,74341            
2014:01:14:10:04:13     -101,24813              004274,15190            
2014:01:14:10:04:13     -099,43021              004707,02311            
2014:01:14:10:04:14     -098,25253              005060,35978            
2014:01:14:10:04:14     -093,52630              005189,53683            
2014:01:14:10:04:14     -093,36643              006267,08919            
2014:01:14:10:04:14     -092,99585              006500,41472            
2014:01:14:10:04:15     -090,32407              006628,87368            
2014:01:14:10:04:15     -090,27194              006906,91550            
2014:01:14:10:04:15     -089,10333              007167,38464            
2014:01:14:10:04:15     -087,65629              007207,63085            
2014:01:14:10:04:16     -087,51116              007387,70669            
2014:01:14:10:04:16     -086,50632              007874,76238            
2014:01:14:10:04:16     -086,42935              008279,34251            
2014:01:14:10:04:16     -085,41023              008308,76395            
2014:01:14:10:04:17     -085,17425              008995,62857            
2014:01:14:10:04:17     -085,12897              009195,42179            
2014:01:14:10:04:17     -084,48895              009278,88864            
2014:01:14:10:04:17     -082,43373              009835,87828            
2014:01:14:10:04:18     -080,27399              009996,33133            
2014:01:14:10:04:18     -080,22134              010007,53013            
2014:01:14:10:04:18     -078,36369              010667,75698            
2014:01:14:10:04:18     -076,72916              010821,93678            
2014:01:14:10:04:19     -076,36618              011301,17228            
2014:01:14:10:04:19     -074,98421              011351,34833            
2014:01:14:10:04:19     -073,74027              011505,71173            
2014:01:14:10:04:19     -069,44933              011565,71138            
2014:01:14:10:04:20     -069,34211              011856,98174            
2014:01:14:10:04:20     -069,30180              012061,27236            
2014:01:14:10:04:20     -068,53807              012859,90266            
2014:01:14:10:04:20     -068,37802              012924,90629            
2014:01:14:10:04:21     -068,29705              013552,22915            
2014:01:14:10:04:21     -067,62879              013987,37002            
2014:01:14:10:04:21     -064,06883              014150,41261            
2014:01:14:10:04:21     -063,89394              014657,77372            
2014:01:14:10:04:22     -063,73206              014819,43903            
2014:01:14:10:04:22     -060,44342              015252,15967            
2014:01:14:10:04:22     -060,02930              015634,07867            
2014:01:14:10:04:22     -053,46817              015658,66351            
2014:01:14:10:04:23     -053,30668              016018,23727            
2014:01:14:10:04:23     -052,67792              016409,19184            
2014:01:14:10:04:23     -051,87022              016660,87038            
2014:01:14:10:04:23     -051,47451              016747,71149            
2014:01:14:10:04:24     -050,32768              016924,96462            
2014:01:14:10:04:24     -048,54621              017062,95115            
2014:01:14:10:04:24     -046,90773              017098,39140            
2014:01:14:10:04:24     -046,79571              018538,27107            
2014:01:14:10:04:25     -045,05541              018629,15180            
2014:01:14:10:04:25     -043,08362              019350,86386            
2014:01:14:10:04:25     -042,34696              019386,38931            
2014:01:14:10:04:25     -040,03505              019424,76825            
2014:01:14:10:04:26     -039,29211              020206,02294            
2014:01:14:10:04:26     -037,30930              020352,67769            
2014:01:14:10:04:26     -034,45076              020370,44680            
2014:01:14:10:04:26     -034,15456              020405,57031            
2014:01:14:10:04:27     -030,51542              020573,17673            
2014:01:14:10:04:27     -029,58453              020582,02301            
2014:01:14:10:04:27     -028,25729              020605,55207            
2014:01:14:10:04:27     -027,98389              021547,22450            
2014:01:14:10:04:28     -027,28050              021820,21543            
2014:01:14:10:04:28     -027,05186              022123,49580            
2014:01:14:10:04:28     -024,86811              022203,15524            
2014:01:14:10:04:28     -024,16556              022561,86210            
2014:01:14:10:04:29     -021,15709              022969,53468            
2014:01:14:10:04:29     -021,10606              022981,08937            
2014:01:14:10:04:29     -020,37492              023455,05666            
2014:01:14:10:04:29     -017,83687              023906,08690            
2014:01:14:10:04:30     -017,45654              024046,54417            
2014:01:14:10:04:30     -016,54613              024056,48033            
2014:01:14:10:04:30     -013,41628              024108,26638            
2014:01:14:10:04:30     -013,28222              024331,91916            
2014:01:14:10:04:31     -011,43866              024348,81051            
2014:01:14:10:04:31     -009,21928              024569,32951            
2014:01:14:10:04:31     -008,39873              024601,17919            
2014:01:14:10:04:31     -008,21534              024918,74048            
2014:01:14:10:04:32     -007,02845              025175,19796            
2014:01:14:10:04:32     -005,76149              025186,63947            
2014:01:14:10:04:32     -005,17614              025772,97785            
2014:01:14:10:04:32     -004,11294              025854,30412            
2014:01:14:10:04:33     000,79717               025889,38686            
2014:01:14:10:04:33     001,38579               026926,58631            
2014:01:14:10:04:33     002,99585               027185,03562            
2014:01:14:10:04:33     004,96832               027583,98996            
2014:01:14:10:04:34     005,38940               027637,93730            
2014:01:14:10:04:34     006,28644               028354,17474            
2014:01:14:10:04:34     008,77747               028937,95663            
2014:01:14:10:04:34     009,16028               029497,08166            
2014:01:14:10:04:35     010,25116               029559,20597            
2014:01:14:10:04:35     015,37233               029753,15519            
2014:01:14:10:04:35     016,40046               029866,30614            
2014:01:14:10:04:35     021,27850               029977,77614            
2014:01:14:10:04:36     023,50627               030409,85931            
