Time:                   Temperature(C):         Attitude(m):            Pressure(psi):          
2014:01:14:10:04:11     -114,12483              000205,88723            50,02075                
2014:01:14:10:04:11     -112,15595              000694,78595            50,14359                
2014:01:14:10:04:11     -111,64801              001765,30096            50,31793                
2014:01:14:10:04:12     -111,13241              001990,93014            50,71190                
2014:01:14:10:04:12     -110,24864              003114,80180            50,82830                
2014:01:14:10:04:12     -109,96556              003354,20231            51,23815                
2014:01:14:10:04:12     -107,41778              003438,21174            51,28196                
2014:01:14:10:04:13     -104,75765              003984,88296            51,39750                
2014:01:14:10:04:13     -101,49395              004181,74341            51,56296                
2014:01:14:10:04:13     -101,24813              004274,15190            -6366,58094             
2014:01:14:10:04:13     -099,43021              004707,02311            51,80027                
2014:01:14:10:04:14     -098,25253              005060,35978            51,88341                
2014:01:14:10:04:14     -093,52630              005189,53683            52,14865                
2014:01:14:10:04:14     -093,36643              006267,08919            6526,77061              
2014:01:14:10:04:14     -092,99585              006500,41472            53,30475                
2014:01:14:10:04:15     -090,32407              006628,87368            53,40430                
2014:01:14:10:04:15     -090,27194              006906,91550            53,59414                
2014:01:14:10:04:15     -089,10333              007167,38464            53,75891                
2014:01:14:10:04:15     -087,65629              007207,63085            54,05207                
2014:01:14:10:04:16     -087,51116              007387,70669            54,38494                
2014:01:14:10:04:16     -086,50632              007874,76238            54,47853                
2014:01:14:10:04:16     -086,42935              008279,34251            54,92864                
2014:01:14:10:04:16     -085,41023              008308,76395            54,98360                
2014:01:14:10:04:17     -085,17425              008995,62857            55,72283                
2014:01:14:10:04:17     -085,12897              009195,42179            55,95592                
2014:01:14:10:04:17     -084,48895              009278,88864            56,20029                
2014:01:14:10:04:17     -082,43373              009835,87828            56,46316                
2014:01:14:10:04:18     -080,27399              009996,33133            56,67214                
2014:01:14:10:04:18     -080,22134              010007,53013            57,17712                
2014:01:14:10:04:18     -078,36369              010667,75698            57,58927                
2014:01:14:10:04:18     -076,72916              010821,93678            57,77977                
2014:01:14:10:04:19     -076,36618              011301,17228            57,87549                
2014:01:14:10:04:19     -074,98421              011351,34833            58,67585                
2014:01:14:10:04:19     -073,74027              011505,71173            58,80312                
2014:01:14:10:04:19     -069,44933              011565,71138            -7236,23211             
2014:01:14:10:04:20     -069,34211              011856,98174            58,92404                
2014:01:14:10:04:20     -069,30180              012061,27236            59,18026                
2014:01:14:10:04:20     -068,53807              012859,90266            59,50269                
2014:01:14:10:04:20     -068,37802              012924,90629            -7349,84755             
2014:01:14:10:04:21     -068,29705              013552,22915            59,81382                
2014:01:14:10:04:21     -067,62879              013987,37002            59,88974                
2014:01:14:10:04:21     -064,06883              014150,41261            60,37993                
2014:01:14:10:04:21     -063,89394              014657,77372            -7496,48478             
2014:01:14:10:04:22     -063,73206              014819,43903            61,35223                
2014:01:14:10:04:22     -060,44342              015252,15967            61,37472                
2014:01:14:10:04:22     -060,02930              015634,07867            61,65362                
2014:01:14:10:04:22     -053,46817              015658,66351            62,20168                
2014:01:14:10:04:23     -053,30668              016018,23727            62,28256                
2014:01:14:10:04:23     -052,67792              016409,19184            7672,67809              
2014:01:14:10:04:23     -051,87022              016660,87038            7731,95739              
